Name,Category,Estimated Cost ($/kg),Estimated Supply Volume (kt/yr),Estimated CO2e (kg/kg),Notes,Cost Model,Confidence (0-1),Source,Price_Low ($/kg),Price_Mid ($/kg),Price_High ($/kg),Price_Region,Price_Evidence (short),Audit_Date,Audit_Method,Audited_By
Acrylonitrile Butadiene Styrene (ABS),Polymer,1.83,20.0,3.0,Price based on market price indices.,Fallback specialty additive model,0.8,Web Search,1.5,1.83,2.5,Global (Online),Online supplier listings,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Atmer® 163,Additive,4.95,20.0,4.0,Supplier: Croda; Class: Antistatic agent,"RM=2.0, Conv=1.0, SG&A=10%, Margin=50%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Calcium Stearate (internal lube),Additive,7.7,20.0,3.0,"Supplier: Multiple (FACI, Baerlocher); Class: Acid scavenger/lubricant",Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"Carbon Black (e.g., Raven®)",Additive,1.83,20.0,3.0,Supplier: Birla Carbon / Cabot / Orion; Class: UV screen + colorant,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),1.6,1.83,2.1,"US (ex-works, spot)",Platts N330 USGC 0.83 $/lb (2025‑05‑30); IMARC US avg Q2'25 $1811/MT,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"Cloisite® (e.g., 20A/30B)",Additive,2.0,20.0,3.0,Price based on online supplier listings.,Fallback specialty additive model,0.75,Web Search,1.5,2.0,2.5,Global (Online),Online supplier listings,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
DHT-4A (Hydrotalcite),Additive,0.4,150.0,1.2,Supplier: Kisuma (Kyowa); Class: Acid scavenger; deactivates residual catalyst/acidic species,"RM=1.0, Conv=0.4, SG&A=5%, Margin=30%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Dynamar™ PPA (FX 5920A),Additive,79.2,1.5,10.0,Supplier: The Chemours Company; Class: Melt fracture/sharkskin eliminator,"RM=35.0, Conv=10.0, SG&A=10%, Margin=60%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"ENGAGE™ POE (e.g., 8180)",Additive,2.65,1000.0,2.0,Supplier: Dow; Class: Impact/ESCR modifier,"RM=1.5, Conv=0.3, SG&A=5%, Margin=40%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Erucamide (slip),Additive,7.7,20.0,3.0,Supplier: Croda / PMC Biogenix; Class: Slip agent,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
FG1901 G (SEBS‑g‑MA),Additive,5.43,60.0,3.0,Supplier: Kraton; Class: Impact modifier / polar compatibilizer,"RM=3.0, Conv=0.8, SG&A=10%, Margin=30%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
